,kernel,C,gamma,epsilon,MAE,MSE,RMSE,R2
322,poly,0.01,100,10.0,52.83731277553532,3818.748577991143,61.79602396587618,-0.575737747516994
320,poly,0.01,100,0.1,64.44719233039037,5184.198925622631,72.00138141468281,-1.139166213984662
423,poly,10.0,10,1.0,65.17618098854666,5759.868274878018,75.89379602364095,-1.376705791462539
321,poly,0.01,100,1.0,65.47750504105464,5833.649414633335,76.37833079240038,-1.4071502484863205
421,poly,10.0,10,0.01,66.12630635960771,5927.350156033992,76.98928598210267,-1.4458141699726137
422,poly,10.0,10,0.1,68.47953225516574,6319.558246484845,79.49564922990972,-1.607651766866745
420,poly,10.0,10,0.001,69.17643652567861,6556.91775710231,80.97479704884915,-1.7055938892593256
318,poly,0.01,100,0.001,72.2119762521457,6919.633807276836,83.18433630964928,-1.8552621274838308
319,poly,0.01,100,0.01,76.77912587319729,8062.431332274667,89.79104260601203,-2.3268169211894074
424,poly,10.0,10,10.0,80.52564559391959,8492.247091086781,92.15338892893078,-2.5041726443551857
349,poly,0.1,10,0.01,81.55527547209905,8498.21817451425,92.18578076099507,-2.5066365042710923
388,poly,1.0,10,10.0,81.64302416279797,8911.0960478539,94.39860193802608,-2.677003114391853
350,poly,0.1,10,0.1,84.1623829615931,9109.70516965245,95.44477549689375,-2.758955587519531
387,poly,1.0,10,1.0,85.53737811625834,9337.936855597876,96.63300086201336,-2.853131277638632
385,poly,1.0,10,0.01,85.39750628614108,9352.515318239071,96.70840355542569,-2.859146817393433
384,poly,1.0,10,0.001,86.49899449373532,9420.325265811332,97.0583601026276,-2.8871273696252766
351,poly,0.1,10,1.0,86.70593964652056,9567.026080128093,97.81117564025132,-2.947660815593067
286,poly,0.001,100,10.0,84.89626975468715,9776.098333405203,98.87415402118596,-3.0339307112719487
283,poly,0.001,100,0.01,90.99059484581305,10453.447178826818,102.24210081383704,-3.313426499530771
414,poly,10.0,1,0.001,92.70374877531532,10857.607574942087,104.19984440939481,-3.48019599985364
312,poly,0.01,10,0.001,92.70464398954849,10857.649172758416,104.20004401514625,-3.480213164442527
415,poly,10.0,1,0.01,92.71059419731509,10858.764965139597,104.20539796545857,-3.480673576050548
313,poly,0.01,10,0.01,92.71212193942279,10858.918592616967,104.20613510065982,-3.4807369676591344
314,poly,0.01,10,0.1,92.7806335376123,10870.589753465612,104.26212041516139,-3.485552861748771
416,poly,10.0,1,0.1,92.9545032141574,10916.665021145074,104.4828455831151,-3.504564990205699
285,poly,0.001,100,1.0,93.53692610255187,10977.606767756008,104.77407488379941,-3.52971150314659
453,poly,100.0,1,1.0,95.00204425897462,11082.068050709879,105.27140186541584,-3.572815568089
417,poly,10.0,1,1.0,94.57032489072544,11256.75298873708,106.09784629641207,-3.6448961581436947
348,poly,0.1,10,0.001,95.36603344032143,11257.651882858843,106.10208236815545,-3.6452670705957075
315,poly,0.01,10,1.0,94.56998079603733,11290.575056667267,106.25711767532219,-3.6588522246529793
223,rbf,100.0,0.01,0.01,98.0457223566975,11377.50112717435,106.66536985908009,-3.694720700344403
222,rbf,100.0,0.01,0.001,98.05321777983981,11379.065806797886,106.67270413183442,-3.6953663371794088
224,rbf,100.0,0.01,0.1,98.07163618342116,11383.166296651765,106.69192235896664,-3.6970583303845403
386,poly,1.0,10,0.1,95.01260725100445,11395.400852138018,106.74924286447197,-3.7021066991132088
225,rbf,100.0,0.01,1.0,98.25667678612,11423.401050537941,106.88031180034021,-3.7136604761308982
