,kernel,C,gamma,epsilon,MAE,MAPE,RMSE,R2
539,sigmoid,0.01,100,100.0,99.5179856115108,51.74427003917202,109.14297599311233,-3.9153500965706396
101,rbf,0.01,10,100.0,99.5179856115108,51.74427003917202,109.14297599311233,-3.9153500965706396
683,sigmoid,100.0,100,100.0,99.5179856115108,51.74427003917202,109.14297599311233,-3.9153500965706396
89,rbf,0.01,0.1,100.0,99.5179856115108,51.74427003917202,109.14297599311233,-3.9153500965706396
77,rbf,0.01,0.001,100.0,99.5179856115108,51.74427003917202,109.14297599311233,-3.9153500965706396
29,linear,10.0,None,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
35,linear,100.0,None,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
59,rbf,0.001,1,100.0,99.5179856115108,51.74427003917202,109.14297599311233,-3.9153500965706396
23,linear,1.0,None,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
83,rbf,0.01,0.01,100.0,99.5179856115108,51.74427003917202,109.14297599311233,-3.9153500965706396
65,rbf,0.001,10,100.0,99.5179856115108,51.74427003917202,109.14297599311233,-3.9153500965706396
17,linear,0.1,None,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
53,rbf,0.001,0.1,100.0,99.5179856115108,51.74427003917202,109.14297599311233,-3.9153500965706396
41,rbf,0.001,0.001,100.0,99.5179856115108,51.74427003917202,109.14297599311233,-3.9153500965706396
11,linear,0.01,None,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
5,linear,0.001,None,100.0,99.5179856115108,11912.189208633094,109.14297599311233,-3.9153500965706396
95,rbf,0.01,1,100.0,99.5179856115108,51.74427003917202,109.14297599311233,-3.9153500965706396
71,rbf,0.001,100,100.0,99.5179856115108,51.74427003917202,109.14297599311233,-3.9153500965706396
47,rbf,0.001,0.01,100.0,99.5179856115108,51.74427003917202,109.14297599311233,-3.9153500965706396
231,rbf,100.0,0.1,1.0,102.59176170772089,55.0231768278176,109.63301881300804,-3.959588207225729
230,rbf,100.0,0.1,0.1,103.65961270501666,55.51971393439308,110.64484169664226,-4.051556520178593
229,rbf,100.0,0.1,0.01,103.72756448301821,55.55398895308138,110.70356865819858,-4.056920372497478
228,rbf,100.0,0.1,0.001,103.73463698482848,55.55764439874127,110.70964994943512,-4.057475972476522
598,sigmoid,1.0,1,10.0,103.79309245835536,55.01140966777092,113.86143171014012,-4.349536484153825
382,poly,1.0,1,10.0,107.84278520831214,58.09462378554782,115.35514546504879,-4.490815049559887
