날짜,시간,강수량,강수형태,기온,습도,하늘상태
 Start : 20170101,,,,,,
1,0,0,0,0.6,85,4
1,100,0,0,1.6,82,4
1,200,0,0,2.9,76,4
1,300,0,0,4.5,70,3
1,400,0,0,5.6,68,4
1,500,0,0,6.7,65,4
1,600,0,0,6.9,65,4
1,700,0,0,7,66,4
1,800,0,0,6.4,68,4
1,900,0,0,6.2,70,4
1,1000,0,0,5.4,72,4
1,1100,0,0,5.1,74,4
1,1200,0,0,4.8,76,4
1,1300,0,0,4.9,77,4
1,1400,0,0,4.9,77,4
1,1500,0,0,4.8,78,4
1,1600,0,0,4.7,79,4
1,1700,0,0,4.6,81,4
1,1800,0,0,4.5,82,4
1,1900,0,0,4.6,82,4
1,2000,0.2,1,4.5,83,4
1,2100,0.4,1,4.2,85,4
1,2200,0,0,4.4,86,4
1,2300,0,0,4.7,86,4
2,0,0,0,5.2,85,4
2,100,0,0,5.8,84,4
2,200,0,0,6.5,82,4
2,300,0,0,7.7,79,3
2,400,0,0,8.4,73,3
2,500,0,0,8.7,69,3
2,600,0,0,8.3,68,4
2,700,0,0,8.2,67,4
2,800,0,0,7.7,67,4
2,900,0,0,7.2,67,3
2,1000,0,0,6.9,68,4
2,1100,0,0,6.4,70,3
2,1200,0,0,5.6,71,3
2,1300,0,0,4.7,72,3
2,1400,0,0,3.9,69,1
2,1500,0,0,1.6,64,1
2,1600,0,0,2.3,75,1
2,1700,0,0,1.5,76,1
2,1800,0,0,1,73,1
2,1900,0,0,0.6,72,1
2,2000,0,0,0,73,1
2,2100,0,0,0,74,1
2,2200,0,0,-0.3,74,1
2,2300,0,0,-0.5,74,1
3,0,0,0,0.2,73,1
3,100,0,0,2,66,1
3,200,0,0,4,57,1
3,300,0,0,5.7,49,1
3,400,0,0,6.8,44,1
3,500,0,0,7.2,44,1
3,600,0,0,6.7,45,1
3,700,0,0,6.7,47,1
3,800,0,0,5.9,51,1
3,900,0,0,4.4,51,1
3,1000,0,0,3.9,59,1
3,1100,0,0,3.4,62,1
3,1200,0,0,3.1,64,1
3,1300,0,0,2.7,68,1
3,1400,0,0,2.3,73,2
3,1500,0,0,2.6,76,3
3,1600,0,0,2.9,77,4
3,1700,0,0,3.1,77,4
3,1800,0,0,3.3,78,4
3,1900,0,0,3.2,79,4
3,2000,0,0,3.1,80,4
3,2100,0,0,3,81,3
3,2200,0,0,2.6,80,2
3,2300,0,0,2,80,1
4,0,0,0,2.7,77,1
4,100,0,0,4.4,72,1
4,200,0,0,5.9,65,1
4,300,0,0,7.1,58,1
4,400,0,0,8.1,49,1
4,500,0,0,8.7,41,1
4,600,0,0,8.8,35,1
4,700,0,0,8.6,36,1
4,800,0,0,7.4,39,1
4,900,0,0,6.3,43,1
4,1000,0,0,5.6,47,1
4,1100,0,0,4.7,51,1
4,1200,0,0,4,54,1
4,1300,0,0,3.3,56,1
4,1400,0,0,3,56,3
4,1500,0,0,2.6,57,3
4,1600,0,0,2.1,61,1
4,1700,0,0,1.6,64,2
4,1800,0,0,1.5,66,3
4,1900,0,0,1.5,67,4
4,2000,0,0,1.3,68,4
4,2100,0,0,1.6,69,4
4,2200,0,0,1.8,67,4
4,2300,0,0,2.2,65,4
5,0,0,0,3.1,61,4
5,100,0,0,4.1,57,4
5,200,0,0,5.2,56,4
5,300,0,0,6.3,54,4
5,400,0,0,6.9,53,4
5,500,0,0,7.5,51,4
5,600,0,0,7.6,49,4
5,700,0,0,7.7,49,4
5,800,0,0,7.6,48,4
5,900,0,0,7,50,4
5,1000,0,0,7,52,4
5,1100,0,0,6.8,52,4
5,1200,0,0,6.6,52,4
5,1300,0,0,6.2,50,4
5,1400,0,0,5.8,49,4
5,1500,0,0,5.3,56,4
5,1600,0,0,5.1,58,4
5,1700,0,0,4.7,61,4
5,1800,0,0,5.3,59,4
5,1900,0,0,4.9,60,4
5,2000,0,0,4.7,60,4
5,2100,0,0,4.3,65,4
5,2200,0,0,4.2,64,4
5,2300,0,0,3.7,64,1
6,0,0,0,4.4,66,1
6,100,0,0,5.6,59,1
6,200,0,0,6.7,54,1
6,300,0,0,7.4,51,1
6,400,0,0,8.7,48,1
6,500,0,0,9.2,45,1
6,600,0,0,9,40,2
6,700,0,0,9.5,47,1
6,800,0,0,8.8,49,1
6,900,0,0,7.4,56,1
6,1000,0,0,6.9,60,1
6,1100,0,0,6.7,63,1
6,1200,0,0,5.7,68,1
6,1300,0,0,5.2,70,1
6,1400,0,0,4.8,72,1
6,1500,0,0,3.5,77,1
6,1600,0,0,3.5,78,2
6,1700,0,0,3.4,79,1
6,1800,0,0,3,78,1
6,1900,0,0,2.6,80,1
6,2000,0,0,2.1,82,2
6,2100,0,0,1.9,83,1
6,2200,0,0,1.5,84,1
6,2300,0,0,1.1,84,1
7,0,0,0,1.9,84,2
7,100,0,0,3,78,3
7,200,0,0,5.4,67,3
7,300,0,0,6.6,60,2
7,400,0,0,8.1,55,1
7,500,0,0,9,50,2
7,600,0,0,9.2,47,3
7,700,0,0,9.4,47,3
7,800,0,0,9,49,3
7,900,0,0,8,50,3
7,1000,0,0,7,58,1
7,1100,0,0,6.4,60,1
7,1200,0,0,6,67,2
7,1300,0,0,5.4,66,2
7,1400,0,0,5,65,4
7,1500,0,0,6,64,4
