날짜,시간,강수량,강수형태,기온,습도,하늘상태
 Start : 20180101,,,,,,
1,0,0,0,-0.3,47,1
1,100,0,0,1,36,1
1,200,0,0,1.7,29,1
1,300,0,0,2.4,28,1
1,400,0,0,2.6,29,1
1,500,0,0,2.5,30,2
1,600,0,0,2.5,34,1
1,700,0,0,2.1,40,1
1,800,0,0,0.4,45,1
1,900,0,0,0.3,50,1
1,1000,0,0,0.2,56,1
1,1100,0,0,0.2,60,1
1,1200,0,0,-0.2,64,1
1,1300,0,0,-0.7,68,1
1,1400,0,0,-1.1,71,1
1,1500,0,0,-1.4,71,1
1,1600,0,0,-1.7,71,1
1,1700,0,0,-1.9,71,1
1,1800,0,0,-2.5,73,1
1,1900,0,0,-2.9,74,1
1,2000,0,0,-2.7,75,1
1,2100,0,0,-3,74,1
1,2200,0,0,-3.1,73,1
1,2300,0,0,-2,69,1
2,0,0,0,-0.7,58,1
2,100,0,0,0.3,42,1
2,200,0,0,0.7,30,1
2,300,0,0,1.5,26,1
2,400,0,0,1.6,26,1
2,500,0,0,1.6,26,1
2,600,0,0,1.1,28,1
2,700,0,0,0.4,30,1
2,800,0,0,-0.2,31,1
2,900,0,0,-0.8,33,2
2,1000,0,0,-1.5,35,4
2,1100,0,0,-2.1,38,4
2,1200,0,0,-2.6,41,3
2,1300,0,0,-3.2,43,3
2,1400,0,0,-3.6,45,3
2,1500,0,0,-4.1,47,3
2,1600,0,0,-4.8,49,3
2,1700,0,0,-5.3,51,3
2,1800,0,0,-5.7,53,3
2,1900,0,0,-5.9,54,3
2,2000,0,0,-5.7,55,3
2,2100,0,0,-6.2,56,3
2,2200,0,0,-6.2,55,3
2,2300,0,0,-5.2,51,1
3,0,0,0,-4.3,45,1
3,100,0,0,-3.6,42,2
3,200,0,0,-2.6,38,2
3,300,0,0,-1.8,36,1
3,400,0,0,-1.4,34,1
3,500,0,0,-1.4,31,1
3,600,0,0,-1.5,33,1
3,700,0,0,-2.4,36,1
3,800,0,0,-2.5,38,1
3,900,0,0,-2.9,42,1
3,1000,0,0,-3.3,46,3
3,1100,0,0,-3.9,49,3
3,1200,0,0,-4.4,53,4
3,1300,0,0,-4.8,55,4
3,1400,0,0,-5.2,59,3
3,1500,0,0,-5.8,59,3
3,1600,0,0,-6.2,60,3
3,1700,0,0,-6.5,61,3
3,1800,0,0,-6.8,61,4
3,1900,0,0,-7.2,60,4
3,2000,0,0,-7.5,58,4
3,2100,0,0,-7.6,60,4
3,2200,0,0,-7.5,61,3
3,2300,0,0,-6,59,1
4,0,0,0,-4.9,52,2
4,100,0,0,-3.9,45,1
4,200,0,0,-3.1,40,3
4,300,0,0,-2.3,36,4
4,400,0,0,-2.2,35,4
4,500,0,0,-1.9,32,4
4,600,0,0,-1.6,34,4
4,700,0,0,-1.6,37,4
4,800,0,0,-1.3,37,4
4,900,0,0,-1.4,38,4
4,1000,0,0,-1.5,39,4
4,1100,0,0,-1.8,41,4
4,1200,0,0,-2.3,45,4
4,1300,0,0,-2.7,49,4
4,1400,0,0,-3.2,53,4
4,1500,0,0,-3.4,55,4
4,1600,0,0,-3.6,56,4
4,1700,0,0,-3.8,58,4
4,1800,0,0,-3.8,59,4
4,1900,0,0,-3.9,60,4
4,2000,0,0,-4.6,55,4
4,2100,0,0,-4.5,55,4
4,2200,0,0,-4.1,56,4
4,2300,0,0,-2.6,57,4
5,0,0,0,-1.4,51,2
5,100,0,0,-0.4,46,1
5,200,0,0,0.2,42,1
5,300,0,0,0.9,41,1
5,400,0,0,1.3,40,1
5,500,0,0,1,36,1
5,600,0,0,0.3,38,1
5,700,0,0,-0.8,44,1
5,800,0,0,-1.5,47,1
5,900,0,0,-2,50,1
5,1000,0,0,-2.3,54,1
5,1100,0,0,-2.6,57,1
5,1200,0,0,-2.7,61,1
5,1300,0,0,-2.8,62,1
5,1400,0,0,-3.1,67,1
5,1500,0,0,-3.6,69,1
5,1600,0,0,-4.1,70,1
5,1700,0,0,-4.7,72,1
5,1800,0,0,-5,73,1
5,1900,0,0,-5.3,72,1
5,2000,0,0,-5.5,71,1
5,2100,0,0,-5.7,71,1
5,2200,0,0,-5.6,70,1
5,2300,0,0,-3.8,65,1
6,0,0,0,-1.9,54,1
6,100,0,0,-0.9,46,1
6,200,0,0,-0.2,41,1
6,300,0,0,0.6,36,1
6,400,0,0,1.2,32,1
6,500,0,0,1.4,29,1
6,600,0,0,1.5,30,1
6,700,0,0,0.7,34,1
6,800,0,0,0,39,1
6,900,0,0,-0.4,44,1
6,1000,0,0,-0.9,48,1
6,1100,0,0,-1.5,51,1
6,1200,0,0,-1.8,55,2
6,1300,0,0,-2.6,58,3
6,1400,0,0,-3,60,2
6,1500,0,0,-3.2,63,1
6,1600,0,0,-3.4,65,1
6,1700,0,0,-3.4,67,1
6,1800,0,0,-4,69,1
6,1900,0,0,-4.5,70,2
6,2000,0,0,-4.6,66,2
6,2100,0,0,-4.8,65,3
6,2200,0,0,-4.9,65,2
6,2300,0,0,-3.3,61,3
7,0,0,0,-1.4,53,3
7,100,0,0,0,46,3
7,200,0,0,0,43,4
7,300,0,0,0.7,39,4
7,400,0,0,1.5,36,4
7,500,0,0,2,34,4
7,600,0,0,2.3,34,4
7,700,0,0,2.2,35,4
7,800,0,0,1.9,35,4
7,900,0,0,2.2,37,4
7,1000,0,0,2.3,40,4
7,1100,0,0,2.5,43,4
7,1200,0,0,2.3,43,4
7,1300,0,0,2.3,43,4
7,1400,0,0,2,44,4
7,1500,0,0,1.9,45,4
7,1600,0,0,1.8,46,4
7,1700,0,0,1.8,47,4
7,1800,0,0,1.6,49,4
7,1900,0,0,1.2,50,4
7,2000,0,0,1.5,50,4
7,2100,0,0,1.4,51,4
7,2200,0,0,1.4,53,4
7,2300,0,0,2.1,52,4
8,0,0,0,2.4,48,4
8,100,0,0,2.5,44,4
8,200,0,0,2.7,40,3
8,300,0,0,2.9,41,2
8,400,0,0,3.3,43,3
8,500,0,0,3.4,45,4
8,600,0,0,3,51,4
8,700,0,0,2.2,60,4
8,800,0,0,0.8,82,4
8,900,0.2,3,0.6,90,4
8,1000,0.2,3,1.5,87,4
8,1100,0.3,3,0.6,82,4
8,1200,0.2,3,0.2,75,4
8,1300,0,0,-0.2,70,4
8,1400,0,0,-1,71,3
8,1500,0,0,-1.8,72,3
8,1600,0,0,-2.6,70,1
8,1700,0,0,-2.9,71,2
8,1800,0,0,-4.2,64,1
8,1900,0,0,-4.8,60,1
8,2000,0,0,-4.8,59,1
8,2100,0,0,-5.1,61,1
8,2200,0,0,-5.4,64,2
8,2300,0,0,-5,62,1
9,0,0,0,-4.4,58,1
9,100,0,0,-3.9,54,3
9,200,0,0,-3.2,51,1
9,300,0,0,-2.2,50,1
9,400,0,0,-1.6,50,2
9,500,0,0,-1.7,53,4
9,600,0,0,-2.3,55,3
9,700,0,0,-3.2,57,3
9,800,0,0,-3.9,52,1
9,900,0,0,-4,54,1
9,1000,0,0,-3.8,56,3
9,1100,0,0,-2.9,58,2
9,1200,0,0,-3.5,65,3
9,1300,0.2,3,-4.6,75,4
9,1400,0.2,3,-5.2,77,4
9,1500,0.2,3,-5.2,75,4
9,1600,0.2,3,-5,73,4
9,1700,0.2,3,-5.2,71,4
9,1800,0,0,-6,70,4
9,1900,0,0,-6.7,72,1
9,2000,0,0,-7.1,72,1
9,2100,0,0,-6.9,70,1
9,2200,0,0,-6.9,68,1
9,2300,0,0,-6,63,1
10,0,0,0,-5.3,55,1
10,100,0,0,-4.9,50,1
10,200,0,0,-4.6,46,1
10,300,0,0,-4.6,44,1
10,400,0,0,-4.8,40,1
10,500,0,0,-5.2,38,1
10,600,0,0,-5.8,36,1
10,700,0,0,-7,35,1
10,800,0,0,-8.2,40,1
10,900,0,0,-8.3,42,1
10,1000,0,0,-8.4,45,1
10,1100,0,0,-8.5,48,1
10,1200,0,0,-8.9,52,1
10,1300,0,0,-9.2,54,1
10,1400,0,0,-9.5,56,1
10,1500,0,0,-9.7,57,1
10,1600,0,0,-9.9,58,1
10,1700,0,0,-10.2,57,1
10,1800,0,0,-10.5,58,1
10,1900,0,0,-10.7,60,1
10,2000,0,0,-11.8,61,1
