date,cnt,year,month,day,weekday,weeknum,is_holiday
2018-05-13,83,2018,05,13,6,19,0.0
2018-05-14,108,2018,05,14,0,20,0.0
2018-05-15,114,2018,05,15,1,20,0.0
2018-05-16,24,2018,05,16,2,20,0.0
2018-05-17,16,2018,05,17,3,20,0.0
2018-05-18,63,2018,05,18,4,20,0.0
2018-05-19,123,2018,05,19,5,20,0.0
2018-05-20,120,2018,05,20,6,20,0.0
2018-05-21,154,2018,05,21,0,21,0.0
2018-05-22,60,2018,05,22,1,21,1.0
2018-05-23,108,2018,05,23,2,21,0.0
2018-05-24,104,2018,05,24,3,21,0.0
2018-05-25,97,2018,05,25,4,21,0.0
2018-05-26,118,2018,05,26,5,21,0.0
2018-05-27,139,2018,05,27,6,21,0.0
2018-05-28,147,2018,05,28,0,22,0.0
2018-05-29,90,2018,05,29,1,22,0.0
2018-05-30,125,2018,05,30,2,22,0.0
2018-05-31,110,2018,05,31,3,22,0.0
2018-06-01,122,2018,06,01,4,22,0.0
2018-06-02,111,2018,06,02,5,22,0.0
2018-06-03,125,2018,06,03,6,22,0.0
2018-06-04,127,2018,06,04,0,23,0.0
2018-06-05,132,2018,06,05,1,23,0.0
2018-06-06,125,2018,06,06,2,23,1.0
2018-06-07,130,2018,06,07,3,23,0.0
2018-06-08,136,2018,06,08,4,23,0.0
2018-06-09,125,2018,06,09,5,23,0.0
2018-06-10,113,2018,06,10,6,23,0.0
2018-06-11,114,2018,06,11,0,24,0.0
2018-06-12,149,2018,06,12,1,24,0.0
2018-06-13,169,2018,06,13,2,24,0.0
2018-06-14,137,2018,06,14,3,24,0.0
2018-06-15,149,2018,06,15,4,24,0.0
2018-06-16,145,2018,06,16,5,24,0.0
2018-06-17,142,2018,06,17,6,24,0.0
2018-06-18,123,2018,06,18,0,25,0.0
2018-06-19,146,2018,06,19,1,25,0.0
2018-06-20,150,2018,06,20,2,25,0.0
2018-06-21,158,2018,06,21,3,25,0.0
2018-06-22,158,2018,06,22,4,25,0.0
2018-06-23,130,2018,06,23,5,25,0.0
2018-06-24,118,2018,06,24,6,25,0.0
2018-06-25,133,2018,06,25,0,26,0.0
2018-06-26,36,2018,06,26,1,26,0.0
2018-06-27,135,2018,06,27,2,26,0.0
2018-06-28,91,2018,06,28,3,26,0.0
2018-06-29,109,2018,06,29,4,26,0.0
2018-06-30,85,2018,06,30,5,26,0.0
2018-07-01,18,2018,07,01,6,26,0.0
2018-07-02,16,2018,07,02,0,27,0.0
2018-07-03,129,2018,07,03,1,27,0.0
2018-07-04,131,2018,07,04,2,27,0.0
2018-07-05,122,2018,07,05,3,27,0.0
2018-07-06,146,2018,07,06,4,27,0.0
2018-07-07,110,2018,07,07,5,27,0.0
2018-07-08,147,2018,07,08,6,27,0.0
2018-07-09,28,2018,07,09,0,28,0.0
2018-07-10,78,2018,07,10,1,28,0.0
2018-07-11,113,2018,07,11,2,28,0.0
2018-07-12,117,2018,07,12,3,28,0.0
2018-07-13,137,2018,07,13,4,28,0.0
2018-07-14,119,2018,07,14,5,28,0.0
2018-07-15,115,2018,07,15,6,28,0.0
2018-07-16,130,2018,07,16,0,29,0.0
2018-07-17,125,2018,07,17,1,29,0.0
2018-07-18,132,2018,07,18,2,29,0.0
2018-07-19,118,2018,07,19,3,29,0.0
2018-07-20,112,2018,07,20,4,29,0.0
2018-07-21,100,2018,07,21,5,29,0.0
2018-07-22,88,2018,07,22,6,29,0.0
2018-07-23,92,2018,07,23,0,30,0.0
2018-07-24,91,2018,07,24,1,30,0.0
2018-07-25,105,2018,07,25,2,30,0.0
2018-07-26,89,2018,07,26,3,30,0.0
2018-07-27,78,2018,07,27,4,30,0.0
2018-07-28,71,2018,07,28,5,30,0.0
2018-07-29,65,2018,07,29,6,30,0.0
